team_name,cosmos_addr,chain_id,rpc
Commonwealth Labs Inc.,cosmos1k8zxp6yxqqpgafe0m3ujs2gccs9f5zkvy9anv8,supernova-1b,tcp://supernova.commonwealth.im:26657
Supernova,cosmos15wa9rkp28zsw8ymuj7dpvpyuqd5ncywnggsqeu,supernovachain-1b,tcp://supernovachain.cosmostation.io:26657
stakezone,cosmos1ufa0sa4hjwj389t2f0r028mspr4nr5eu0vg4d6,szchain-1b,tcp://goz2.stake.zone:26657
Taidi,cosmos1xgcjknmn6y2cjapje5aw6fq93a5r7hejcu6y6j,TaidiHub-1b,tcp://13.250.207.24:26657
TheTechTrap,cosmos12c3wmcqqhy3xvkac5zc5rvgxf2hunm6qydm7az,thetechtrap-goz-1b,tcp://thetechtrap.com:26657
timetowin,cosmos1wltxa7d9lu3pgm2lyz5ser8fvasmtxhlxu0nxw,timetowinchain-1b,tcp://3.22.166.56:26657
Tom,cosmos15f9vuwylnyzggwtgcxe84th0yx4ugf0pwqj5hf,tom-1b,tcp://47.245.35.172:26657
Fanprime,cosmos1780eywt4gghkhzu62fkr2exqkkya06ydj68ckh,ublochain-1b,tcp://15.236.69.21:26657
Umbrella,cosmos10ekrjlmat8sgr6c40fg8j348gv9tearfkmx883,umbrellachain-1b,tcp://goz.umbrellavalidator.com:26657
Mr.K,cosmos1kgrhmxu6khuzcamwgwrent45ufhpdqlmm0473u,universe-1b,tcp://35.193.176.142:26657
Vb,cosmos13dus5s0c2ey32509xy6hgk8s923wufrv2dyy6g,vbstreetz-1b,tcp://144.202.100.245:26657
VGNG,cosmos1vgng37d8ksml9yxaryzect6pdvlpzx64yzfzff,vgng-1b,tcp://ibc.vgng.io:26657
vipnamai,cosmos1trq740zypnm64g9deufsdkx0qcw8xd09vfxx06,vipnamai-1b,tcp://173.249.12.108:26657
Yura Forgive Us,cosmos18g6s0cdlm593ej66rr6hrxc55362dkjattvc7h,vostok-1b,tcp://chain.exchange-fees.com:26657
WeStaking,cosmos16qp669v7k2wcsml6zv945nmnsknhckp39w0a0k,westaking-1b,tcp://ibc.westaking.io:26657
Wetez,cosmos1gnpwvxwkj6a855z2708hnfy3h30muewcfmckw2,Wetez-1b,tcp://goz.wetez.io:26657
zilot,cosmos1aftl8e8maxkw0q7yjzytfhpcz75stu835gzhxw,zilotchain-1b,tcp://3.21.169.1:26657
Ping.pub,cosmos182pr5pdngtkglyjgk057jam4v2uuk952jswkt0,ping-ibc-1b,tcp://ibc.ping.pub:26657
melea,cosmos1exwcn4rmcyuf4xfjs722amqrfheng7z8cjfzgn,melea-1111-1b,tcp://melea.xyz:26657
